block_number,price0,price1
15988366,16529.62258915652,1203.0590667823833
15988416,16539.268987464697,1203.2400726964108
15988466,16544.336095580336,1204.5529349805743
15988516,16542.956053265694,1204.4332490601587
15988566,16535.865160476056,1203.8787625341345
15988616,16535.451848221033,1202.8116660422245
15988666,16535.280475114236,1203.3167418983926
15988716,16526.994175803356,1203.3659274887182
15988766,16514.126295896305,1202.8720894871865
15988816,16507.349582291925,1202.4172678949826
15988866,16505.236113462728,1200.2556593541603
15988916,16462.513070283992,1195.119777634692
15988966,16446.53724881611,1192.7016646363031
15989016,16448.532636220956,1191.864466390659
15989066,16444.994217600586,1191.288388114488
15989116,16442.78548518882,1191.525701525775
15989166,16439.94076339135,1192.4893822344306
15989216,16462.75375229011,1192.0862119242092
15989266,16472.93191585582,1192.4500766627614
15989316,16474.310717458746,1192.2698037484827
15989366,16485.73799603282,1194.1378437369542
15989416,16504.487012810325,1197.0807060003856
15989466,16527.50963173794,1198.27457588671
15989516,16538.946288306925,1199.3958807054776
15989566,16544.026795791036,1199.5108649439464
15989616,16547.29081067138,1201.315790588942
15989666,16547.99335097681,1201.5805298018954
15989716,16546.593032727098,1201.994390463098
15989766,16535.276744406958,1200.5054473888233
15989816,16525.86933491107,1200.0577052375759
15989866,16516.59284947966,1199.2517495008915
15989916,16513.875812721795,1200.3119929254337
15989966,16506.404655569942,1198.7279257312427
15990016,16470.241954995025,1195.9224428792197
15990066,16457.115110726885,1195.1241709596754
15990116,16472.089416528717,1193.4232646817297
15990166,16465.60032817905,1191.5721689481286
15990216,16423.148773777277,1190.1427170123418
15990266,16423.30749406786,1189.7092982108798
15990316,16424.591163875568,1190.4617264334638
15990366,16429.438077197414,1190.2618391105163
15990416,16434.891473388463,1191.6855835306096
15990466,16448.158170356153,1193.5557083511085
15990516,16460.84496579269,1193.5215807591992
15990566,16457.26973646146,1193.194639232987
15990616,16459.838881738993,1199.6229538009347
15990666,16554.243485090545,1206.3727446110815
15990716,16582.28174373533,1207.9628814600946
15990766,16565.91474638007,1204.5921872977324
15990816,16499.293712062336,1198.8963976653858
15990866,16485.51418955417,1197.9783773695397
15990916,16499.515731874046,1199.8717362001191
15990966,16510.81535625506,1202.4013673583027
15991016,16517.777660259224,1205.9420870285626
15991066,16543.04971145025,1207.220992758223
15991116,16570.396032543707,1209.0387603614327
15991166,16587.92313670899,1210.4882717472212
15991216,16595.406533515357,1210.1915335737294
15991266,16581.668005861273,1207.8967924825315
15991316,16578.168060952717,1206.8651730854938
15991366,16573.229164729437,1206.4590235441483
15991416,16586.387448516427,1208.2155375902032
15991466,16604.815707311976,1208.962009320561
15991516,16617.26514089003,1209.6792252444911
15991566,16623.005888895488,1210.5980802846086
15991616,16638.15419515479,1210.9461065784017
15991666,16646.562100244326,1211.0210709211324
15991716,16652.92137111648,1210.6616582666384
15991766,16645.61048935029,1209.7169154787746
15991816,16636.155736342633,1208.6757115330008
15991866,16626.472245810353,1207.9959616882068
15991916,16617.50272192974,1206.792159115574
15991966,16614.267051934094,1206.2451178501904
15992016,16604.77908956308,1205.3758757602452
15992066,16605.723917092724,1204.9657838473704
15992116,16595.63351279151,1204.65408444013
15992166,16611.824467520848,1204.933536871167
15992216,16604.97397104508,1202.8519712474838
15992266,16605.559203245073,1202.0580032334499
15992316,16605.620975000995,1202.2271558283953
15992366,16618.978659821336,1203.645344779229
15992416,16619.374534566177,1205.4767073083603
15992466,16621.38666044342,1206.5764617784725
15992516,16632.11749341246,1206.2547530531217
15992566,16635.499776580335,1206.7777005723003
15992616,16634.0980658238,1206.5377172314472
15992666,16632.115809456438,1206.570050593097
15992716,16631.902052104793,1206.912792025764
15992766,16634.361121909922,1205.8725742109032
15992816,16642.603025510823,1206.6363832662996
15992866,16649.862595927338,1206.1392495446353
15992916,16649.489052471716,1206.460627562122
15992966,16644.06505972938,1205.2059216639163
15993016,16633.38444251234,1203.6877062816352
15993066,16621.445712905166,1202.4743564084786
15993116,16611.931613959183,1201.0436792798437
15993166,16612.919821907835,1200.6006069678353
15993216,16616.42907423895,1200.8425523772848
15993266,16678.346526251655,1204.145932872431
15993316,16707.764423078035,1205.4267339472447
15993366,16742.16594484791,1208.7844103192538
15993416,16766.18695142038,1211.3575302549557
15993466,16785.150528286213,1212.4188269368876
15993516,16820.715129375192,1213.8345160202464
15993566,16831.827763066933,1213.8628908420499
15993616,16829.67484977706,1212.966236256022
15993666,16822.53337580042,1212.884220753537
15993716,16821.079744409115,1212.4895955276093
15993766,16813.69686480864,1212.2519553162142
15993816,16820.712981781297,1212.557746487493
15993866,16827.95351305787,1212.7089084354363
15993916,16832.67475508708,1212.072059149425
15993966,16833.879399892183,1212.6163131762262
15994016,16834.815238281382,1214.7715308141262
15994066,16835.86515311162,1223.354184177935
15994116,16856.222533761178,1225.4642394607192
15994166,16865.820855709993,1224.7819595537637
15994216,16867.21360989834,1224.6053997511985
15994266,16861.146505959656,1224.028406003735
15994316,16875.09628719055,1223.7930421319832
15994366,16857.005009371922,1223.5443249956693
15994416,16840.97572379194,1222.4620945754416
15994466,16801.57869430679,1220.430615399739
15994516,16771.718459724158,1219.2162845325922
15994566,16754.964107663924,1218.3509872455304
15994616,16745.85994938968,1218.4532030133366
15994666,16765.965347949477,1219.3951119834858
15994716,16787.2476207926,1219.521488714521
15994766,16798.49904244699,1220.8182340519215
15994816,16805.4916216561,1221.3440571595706
15994866,16816.277825799436,1221.9561623868178
15994916,16816.277825799436,1221.9561623868178
15994966,16786.15425575779,1221.3098498247953
15995016,16775.97147575331,1219.7893214612477
15995066,16762.160438590927,1217.6583499947385
15995116,16755.29789405645,1216.9708973449933
15995166,16749.655580262723,1215.6799605149365
15995216,16734.533044944706,1215.9429349239701
15995266,16736.24199216975,1216.204692556271
15995316,16742.739105288183,1217.701705351921
15995366,16744.229491204907,1218.373304574028
15995416,16745.359242444458,1218.061734277212
15995466,16727.070298361512,1216.7191306431066
15995516,16721.193053858966,1216.052089343818
15995566,16714.55652243326,1215.135907063466
15995616,16701.95131146292,1213.2227252959983
15995666,16699.254712632955,1212.2127697898225
15995716,16697.290189414078,1211.3655540835377
15995766,16686.562310942118,1210.8609572590256
15995816,16674.007686790115,1211.4055048488476
15995866,16679.484472576627,1211.3971783896254
15995916,16682.381940600306,1212.2153607345565
15995966,16683.71083885106,1212.917493379698
15996016,16684.71197955117,1213.0706041753124
15996066,16692.19631377551,1213.6006845933737
15996116,16696.862053252273,1214.8036180940044
15996166,16699.468825781056,1215.3980252275167
15996216,16704.33338451831,1215.9877533737995
15996266,16719.848463324488,1217.5351212660896
15996316,16730.16203129484,1218.4214283206554
15996366,16745.71246651252,1219.947342286181
15996416,16736.414898358777,1218.8481575454275
15996466,16723.138840767115,1219.4676618972123
15996516,16723.138840767115,1219.4676618972123
15996566,16713.85779054919,1219.5091428709795
15996616,16711.347783102945,1219.333002465042
15996666,16709.984718934287,1218.6136713629817
15996716,16709.50419630997,1217.3288041917988
15996766,16710.53502443596,1217.1786475334445
15996816,16712.729501634276,1217.8641300275178
15996866,16713.10061944777,1218.4086946507005
15996916,16720.68222422861,1219.2199118518097
15996966,16720.68222422861,1219.2199118518097
15997016,16728.140755376382,1219.1338889143747
15997066,16729.92819612736,1218.8819379896108
15997116,16733.95167540389,1218.7982234155709
15997166,16734.007897160092,1219.156714655676
15997216,16734.022522424733,1221.4210173265906
15997266,16734.026828228183,1221.569133687192
15997316,16734.032056957323,1222.4412349409931
15997366,16726.519497694164,1221.0182297543022
15997416,16718.641466661673,1220.166619261708
15997466,16716.279391184995,1220.0627174308827
15997516,16734.229199223468,1220.5821557006072
15997566,16712.837318853923,1218.3934582007132
15997616,16701.431071087994,1216.7508299739522
15997666,16692.075447214138,1214.6270624584342
15997716,16690.135534885754,1214.3877869089958
15997766,16660.72516792419,1212.6261224952555
15997816,16660.869286660338,1213.1068405685087
15997866,16660.956507002065,1213.64858000815
15997916,16660.977543171677,1213.5160684000452
15997966,16661.005625839676,1213.0044975539263
15998016,16657.310669360526,1212.5815695265471
